h,B18-01,B18-02,B18-03,B18-04,B18-05,B18-06,B17-01,B17-02,B17-03,B17-08,B17-05,B17-06,B17-07,B16-SE-01,B16-RO-01,B16-DS-01,B16-DS-02,B15-01 (SE),B15-03 (RO),B15-02 (DS),M18-SE-01,M18-SE-02,M18-DS-01,M18-DS-02,M18-RO-01,M18-RO-02,,,GROUP,№ of Stud.,№ of Groups,Course name,Instructor's name,Tutorial's Instructor,TA's name,,,,
MONDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,"English I, groups #1,2
103, 104",,,,,,Differential Equations                                                                                                                                                                                                                                                                                                                       Nikolay Shilov                                                                                                                                                                                                                                                                                                                                     108,,,,,,,,Introduction to  Robotics                  Alexandr Klimchik                                                  321,,,,,,,,,,,,,,B18,154,6,Introduction to Programming I,Victor Rivera,,Alexandr Naumchev,Ivan Konyukhov,Hamna Aslam  ,Marat Mingazov,Daniel de Carvalho
10:35-12:05,"English I, groups #3,4,5                                                                                                                                                                                                                                                                 102, 103, 104",,,,,,Differential Equations (tutorial)                                                                                                                                                                                                                                                                                                                     Ivan Konyukhov                                                                                                                                                                                                                                                                                                                                                        108,,,,,,,,Low and Embedded Level Programming                      Evgeniy Zuev                            106,,,,Low and Embedded Level Programming                      Evgeniy Zuev                            106,Advanced Statistics         Vladimir Ivanov                                 314,Models of Software Development                                                                                                                                                                                                                                                                                                 Manuel Mazzara                                                                                                                                                                                                                                                                                                                                313,,,,Low and Embedded Level Programming                                                                                   Evgeniy Zuev                                                                                                                              106,,,,B18,154,6,Computer Architecture,Alexander Tormasov                                             ,Muhammad Fahim   ,Muhammad Fahim   ,Munir Makhmutov,Vladislav Ostankovich ,Alena Yurieva,
12:10-13:40,"English I, groups #6,7,8
102, 103, 104",,,,,,Differential Equations                                 Daniel de Carvalho                317      ,,Differential Equations                                 Alexey Karachev                300      ,,Differential Equations                                 Marat Mingazov                      318     ,,Differential Equations                                 Ivan Konyukhov                     312     ,,,,,,,Advanced Statistics         Vitaly Romanov                                      314,,,,,Low and Embedded Level Programming                                      Aidar Gabdullin                                          306                                                   ,Low and Embedded Level Programming                                      Nikita Bogomazov                                           316                                                   ,,,B18,154,6,Mathematical Analysis I,Vladimir Ivanov,Vladimir Ivanov,Sergey Gorodetskiy,Alexey Karachev,Ilya Khomyakov ,,
14:10-15:40,"Introduction to Programming I
Victor Rivera
108",,,,,,,Differential Equations                                 Daniel de Carvalho                317      ,,Differential Equations                                 Alexey Karachev                300      ,,Differential Equations                                 Marat Mingazov                      318     ,,Compilers Construction                      Evgeniy Zuev                            106,Low and Embedded Level Programming                                      Aidar Gabdullin                                306,Compilers Construction                                      Evgeniy Zuev                                                                     106,,,Low and Embedded Level Programming                      Nikita Bogomazov                           316,,,,,,,,,,B18,154,6,Analytical Geometry and Linear Algebra I ,Sergey Gorodetskiy,Sergey Gorodetskiy,Sergey Gorodetskiy,Sergey Masiagin,Ivan Konyukhov,Oleg Bulichev ,
15:45-17:15,"English I, groups #9,10
104, 103",,,,,,,,,,,,,Compilers Construction                      Mikhail Ivanov                            313,Introduction to  Robotics                                     Mikhail Ostanin                                                                 312,Compilers Construction                      Alena Yurieva                            314,Compilers Construction                      Ivan Grebenkin                      318                         ,,,,,,,,,,,,B18,154,10,English I,"Instructor 1: Rabab Marouf
Instructor 2: Maya Stoyanova
Instructor 3: Oksana Zhirosh",,,,,,
17:20-18:50,Introduction to Programming I     Daniel de Carvalho                        312                         ,Introduction to Programming I       Hamna Aslam               303                                  ,,Introduction to Programming I     Alexandr Naumchev      314                        ,Introduction to Programming I        Ivan Konyukhov                317                                                               ,Introduction to Programming I     Marat Mingazov                       318                                           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:55-20:25,,,Introduction to Programming I       Hamna Aslam               303                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUESDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,"English I, groups #1,2
102, 103, 104",,,,,,Theoretical Computer Science                                                                                                                                                                                                                                                                                                 Manuel Mazzara                                                                                                                                                                                                                                                                                                                                105,,,,,,,System Theory                                                                             Alberto Sillittii                                                                   106,,,,,,,,,,,,,,,B17,173,7,Theoretical Computer Science,Manuel Mazzara,Mansur Khazeev    ,Larisa Safina,Mansur Khazeev,Munir Makhmutov,,
10:35-12:05,"English I, groups #3,4,5                                                                                                                                                                                                                                                                 102, 103, 104",,,,,,Theoretical Computer Science (tutorial)                                                                                                                                                                                                                                   Mansur Khazeev                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                105,,,,,,,,System Theory                Gafurov Salimzhan               321,Introduction to Big Data                                                 Alberto Sillittii                                                                                          106                                                                              ,,,,,,,,,,,,,B17,173,7,Data Modeling and Databases I,Manuel Mazzara,JooYoung Lee  ,Subham Chakraborty ,Nikita Zhuchkov,Nikolay Kudasov  ,,
12:10-13:40,"English I, groups #6,7,8
102, 103, 104",,,,,,Theoretical Computer Science                        Larisa Safina                                               318      ,,,Theoretical Computer Science                        Munir Makhmutov                                                312      ,,Theoretical Computer Science                        Mansur Khazeev                                                314      ,,System Theory              Gafurov Salimzhan             321      ,,Introduction to Big Data                                Rustam Gafarov                                                               313 ,Introduction to Big Data                                                  Vitaliy Romanov                                                                                 317,,,,Methods: Deciding what to Design                                                                                                                              Alberto Sillittii                                                                                                                                                106,,High-Dimensional Data Analysis                                                                                                                 Yaroslav Kholodov                                                                                                                                              300                    ,,,,,,B17,173,7,Operating Systems,Giancarlo Succi,Luiz Araujo,Luiz Araujo,Nikita Bogomazov,Nikita Lozhnikov,,
14:10-15:40,"English I, groups #9,10
104, 103",,,,,,,Theoretical Computer Science                        Larisa Safina                                               318      ,,,Theoretical Computer Science                        Munir Makhmutov                                                312      ,,Theoretical Computer Science                        Mansur Khazeev                                                314      ,Distributed Systems and Cloud Computing Jooyong Yi                                                  106,,Distributed Systems and Cloud Computing Jooyong Yi                                                                            106,,,,,Managing Software Development                                                                                                                                Andrey Sadovykh                                                                                                                                                          313,,,High-Dimensional Data Analysis                                         Ivan Grebenkin                                                   320                    ,,,,,B17,173,7,Differential Equations    ,Nikolay Shilov,Ivan Konyukhov,Ivan Konyukhov,Daniel de Carvalho,Marat Mingazov,Alexey Karachev,
15:45-17:15,,,,,,,,,Theoretical Computer Science                        Larisa Safina                                               318      ,,,,,Distributed Systems and Cloud Computing      Luiz Araujo                             321                                              ,,Distributed Systems and Cloud Computing        Kirill Saltanov                      300                                              ,Distributed Systems and Cloud Computing           Subham Chakraborty              313                                             ,,,,,,High-Dimensional Data Analysis                                         Ivan Grebenkin                                                   320                    ,,, ,,,B17,173,7,Physics I,Bahrami Mohammad Reza,Bahrami Mohammad Reza,Alexey Shikulin,Victor Nikiforov  ,,,
17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B17,173,7,Philosophy  ,Rustem Tsiunchuk   ,,,,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEDNESDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,"Mathematical Analysis I
Vladimir Ivanov
108",,,,,,Operating Systems                                                                                                                                                                                                                                                                                                                 Giancarlo Succi                                                                                                                                                                                                                                                                                                                                    105,,,,,,,,,,,"Academic Research and Writing Culture                                              
102, 103, 104                                                                                            
                 ",,,,,,,,,,,B16-SE-01    B16-RO-01   B16-DS-01   B16-DS-02,90,,Introduction to Machine Learning  ,Adil Khan ,,Albina Khusainova,Muhammad Ahmad,,,
10:35-12:05,"Mathematical Analysis I (tutorial)
Vladimir Ivanov
108",,,,,,Operating Systems  (tutorial)                                                                                                                                                                                                                                                                                                                 Luiz Araujo                                                                                                                                                                                                                                                                                                                               105,,,,,,,Introduction to Machine Learning                                                                                                                                     Adil Khan                                                                                                                                                                          106                                                      ,,,,"Academic Research and Writing Culture                                              
102, 103, 104                                                                                                     ",,,Models of Software Development                                                                                                                                                                                                                                                                                                 Manuel Mazzara                                                                                                                                                                                                                                                                                                                                313,,Introduction to Machine Learning                                                                                                            Adil Khan                                                                                                                                             106     ,,Introduction to Machine Learning                                                                                       Adil Khan                                                                                                                                        106     ,,,,,,,Systems Theory,Alberto Sillittii,,Gafurov Salimzhan ,,,,
12:10-13:40,"Mathematical Analysis I
Sergey Gorodetskiy                         314",,Introduction to Programming I       Hamna Aslam                            303                                         ,"Mathematical Analysis I
Vladimir Ivanov                       306","Mathematical Analysis I
Ilya Khomyakov                          317",Introduction to Programming I     Marat Mingazov                               300                                          ,Operating Systems Nikita Lozhnikov                                                                        318      ,,,,Operating Systems Nikita Bogomazov                                                                        312      ,,Operating Systems   Luiz Araujo                           320                                                                          ,Introduction to Machine Learning                                                      Albina Khusainova                                                                                                                                                                                        313                                                      ,,Introduction to Machine Learning                                                              Muhammad Ahmad                                                                                                                                                                                         106                                                      ,,,,,,,,Introduction to Machine Learning                                                                        Rustam Gafarov                                                            101                                                                                                                ,Introduction to Machine Learning                                                                        Pavel Khakimov                                                321                                                                                                             ,  ,,,,,,Compilers Construction,Evgeniy Zuev  ,,Mikhail Ivanov ,Ivan Grebenkin,Alena Yurieva,,
14:10-15:40,Introduction to Programming I     Daniel de Carvalho                        314                          ,Introduction to Programming I       Hamna Aslam                            303                                         ,,Introduction to Programming I     Alexandr Naumchev       300                       ,Introduction to Programming I        Ivan Konyukhov                306                                                              ,"Mathematical Analysis I
Ilya Khomyakov                          317",,Operating Systems Nikita Lozhnikov                                                                        318      ,,,,Operating Systems Nikita Bogomazov                                                                       312      ,,,Introduction to Machine Learning                                                      Albina Khusainova                                                                                                                                                                                        313                                                      ,,Introduction to Machine Learning                                                      Albina Khusainova                                                                                                                                                                                        313                                                      ,,,,Metrics and Empirical Methods for Software Engineers and Data Scientists                                            Giancarlo Succi                                                                                                                                                        106,,Metrics and Empirical Methods for Software Engineers and Data Scientists                                     Giancarlo Succi                                                                                                                                                       106,,,Introduction to Machine Learning                                                      Rauf Yagfarov                                                                                                                                                                                       321          ,,,,,,Distributed Systems and Cloud Computing ,Jooyong Yi   ,,Luiz Araujo,Kirill Saltanov,Subham Chakraborty ,,
15:45-17:15,,"Mathematical Analysis I
Aleksey Karachev                   108                       ",,,,,,,Operating Systems Nikita Lozhnikov                                                                        318      ,,,,,,,,,,,,,,Metrics and Empirical Methods for Software Engineers and Data Scientists                       Ilya Khomyakov                                                                    321                                                   ,,,,,,,,,Software Architecture                      ,Angelo Messina  ,,Evgeniy Bobrov  ,Larisa Safina,,,
17:20-18:50,,,"Mathematical Analysis I
Aleksey Karachev                   303                       ",,,,,,,Operating Systems Nikita Lozhnikov                                                                        318      ,,,,,,,,,,,,Metrics and Empirical Methods for Software Engineers and Data Scientists                                       Alexey Shikulin                                                                300                                               ,,Metrics and Empirical Methods for Software Engineers and Data Scientists                       Ilya Khomyakov                                                                 321                                                   ,,,,,,,,Introduction to Big Data    ,Alberto Sillittii    ,,Rustam Gafarov,Vitaliy Romanov,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,Metrics and Empirical Methods for Software Engineers and Data Scientists                                               Alexey Shikulin                                                                         300                                               ,,,,,,,,,,,Low and Embedded Level Programming ,Evgeniy Zuev  ,,Aidar Gabdullin   ,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theoretical Mechanics,Bahrami Mohammad Reza / Alexandr Maloletov ,,Bahrami Mohammad Reza,,,,
THURSDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Introduction to Robotics                  ,Alexandr Klimchik ,,Mikhail Ostanin  ,,,,
09:00-10:30,,,,,,,Philosophy                                                                                                                                                                                                                                                                                                                                       Rustem Tsiunchuk                                                                                                                                                                                                                                                                                                                           105,,,,,,,,,,,,,,,,,,Dynamics of Nonlinear Systems                                                                                                               Anton Shiryaev                                                                                                                           321,,,,B15-01 (SE),,,Mobile Application Development using Qt    ,Kirill Chuvilin / Vlad Linder     ,,,,,,
10:35-12:05,Computer Architecture                                                                                                                                                                                                                                                                                                                        Alexander Tormasov                                                                                                                                                                                                                                                                                                    108,,,,,,,,,,,,,Software Architecture                      Angelo Messina                            106,Theoretical Mechanics                                              Bahrami Mohammad Reza / Alexandr Maloletov                                                  312                                                                ,Software Architecture                                                        Angelo Messina                                                                              106,,,Theoretical Mechanics                                              Bahrami Mohammad Reza / Alexandr Maloletov                    312                                                                ,,Methods: Deciding what to Design                                                                                                                                                   Alberto Sillittii                                                                                                                                                             313,,Introduction to Machine Learning                                                                        Muhammad Ahmad                                                     101                                                                                                                    ,,Dynamics of Nonlinear Systems           Ramil Khusainov                                                   321,,,,B15-02 (DS),,,Advanced Statistics    ,Vladimir Ivanov,,Vitaly Romanov,,,,
12:10-13:40,Computer Architecture  (tutorial)                                                                                                                                                                                                                                                                                   Muhammad Fahim                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           108,,,,,,,,,,,,,Software Architecture                      Evgeniy Bobrov                                                              313                                                 ,Theoretical Mechanics Bahrami Mohammad Reza                                             312                                                                ,,Software Architecture                      Larisa Safina                          314                         ,,Theoretical Mechanics             Alexandr Maloletov                                             317     ,,,,,,,Dynamics of Nonlinear Systems          Shamil Mamedov                                                 321,,,B15-03 (RO),,,Low and Embedded Level Programming ,Evgeniy Zuev  ,,Nikita Bogomazov,,,,
14:10-15:40,"Computer Architecture  
Vladislav Ostankovich         317     ",,"Computer Architecture  
Muhammad Fahim         314     ",,"Computer Architecture  
Munir Makhmutov         312     ",,Physics I                                                                                                                                                                                                                                                                                                                                       Bahrami Mohammad Reza                                                                                                                                                                                                                                                                                                                                                              108                                                                                                                                                                                                                                                                                                            ,,,,,,,,,,,Mobile Application Development using Qt                       Kirill Chuvilin                                   101                      ,,,Managing Software Development                                                                                                               Andrey Sadovykh                                                                                                                                                             313,,,,Sensation and Perception                                                                                                          Ilya Afanasyev                                                                                                                          321,,,,B15,36,,Academic Research and Writing Culture,"Instructor 1:  Rabab Marouf
Instructor 2:  Maya Stoyanova
Instructor 3:  Oksana Zhirosh",,,,,,
15:45-17:15,,"Computer Architecture  
Vladislav Ostankovich         317     ",,"Computer Architecture  
Alena Yurieva                      318            ",,"Computer Architecture  
Munir Makhmutov         312     ",Physics I (tutorial)                                                                                                                                                                                                                                                                                                                                      Bahrami Mohammad Reza                                                                                                                                                                                                                                                                                                                                                            108,,,,,,,,,Software Architecture                      Evgeniy Bobrov                                                              313                                                 ,,,,,,,,,Sensation and Perception                           Geesara Prathap                                                   320,,,,B15-03 (RO),,,Theoretical Mechanics,Bahrami Mohammad Reza / Alexandr Maloletov ,,Alexandr Maloletov ,,,,
17:20-18:50,,,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov                   314,,Physics I                                                                                                                                                                                                                                                                                                                                       Alexey Shikulin                                                          312,,,,,,,,,,,,,,,,,Sensation and Perception                           Geesara Prathap                                                   320,,,,,,,,,,,,,
18:55-20:25,,,,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Victor Nikiforov                   314,,,,,Physics I                                                                                                                                                                                                                                                                                                                                       Alexey Shikulin                                                          312,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
